Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.928459,77.576972,12,1,3,0,14,1
12.919182,77.57765,12,1,8,0,14,1
12.926192,77.586141,11,2,4,2,14,1
12.91743,77.583465,16,4,9,0,14,1
12.920162,77.587113,16,0,6,0,14,1
12.92204,77.58221,18,0,3,1,14,1
12.916744,77.597456,11,6,11,2,14,1
12.9057223,77.53558126,11,1,5,2,14,1
12.9362949,77.5724694,0,2,1,3,14,1
12.94834644,77.57843315,0,1,4,3,14,1
12.9478532,77.57521804,0,4,6,3,14,1
12.94754935,77.57928407,0,0,12,3,14,1
12.93865317,77.57654392,0,4,5,3,14,1
12.94589054,77.5708001,0,3,8,3,14,1
12.9362949,77.5724694,0,4,8,3,14,1
12.9448453,77.57005559,0,2,6,3,14,1
12.94625337,77.57034708,0,4,2,3,14,1
12.9013564,77.5897255,10,2,8,2,14,1
12.8940057,77.5828137,11,6,1,2,14,1
12.9045368,77.5843208,19,3,5,1,14,1
12.9359949,77.5664314,18,4,12,1,14,1
12.9082055,77.5817295,21,5,3,3,14,1
12.8820672,77.5798883,22,6,4,3,14,1
12.9009867,77.584761,22,0,4,3,14,1
12.8093213,77.2940594,17,0,11,1,14,1
12.8920076,77.5837341,8,0,7,2,14,1
12.9059669,77.5793992,11,1,10,2,14,1
12.9059929,77.5728331,11,4,3,2,14,1
12.9092966,77.5739359,20,4,9,1,14,1
12.904328,77.5961512,15,5,5,0,14,1
12.913173,77.597754,13,1,12,0,14,1
12.9118554,77.5723761,20,0,1,1,14,1
12.8971425,77.5818036,19,5,3,1,14,1
12.9107989,77.5758887,9,0,7,2,14,1
12.9015479,77.5801482,17,2,12,1,14,1
12.9015739,77.5735821,11,1,12,2,14,1
12.9386699,77.5402407,11,2,11,2,14,1
12.9388326,77.5402407,13,2,8,0,14,1
12.9389952,77.5402406,18,2,5,1,14,1
12.9178748,77.5845514,17,1,5,1,14,1
12.9211693,77.5799377,13,2,7,0,14,1
12.916245,77.5932261,17,0,11,1,14,1
12.9077254,77.5978325,12,4,10,0,14,1
12.9097302,77.5836513,13,6,2,0,14,1
12.9154951,77.5931886,9,3,5,2,14,1
12.9159378,77.5855939,15,2,12,0,14,1
12.911032,77.5759036,9,4,9,2,14,1
12.908631,77.5866536,11,2,10,2,14,1
12.92945278,77.57361111,11,6,1,2,14,1
12.91519722,77.55861111,13,4,7,0,14,1
12.92516111,77.56138889,13,6,8,0,14,1
12.92543056,77.56083333,5,6,2,2,14,1
12.92439444,77.56805556,13,1,4,0,14,1
12.93251111,77.57555556,19,0,7,1,14,1
12.92543056,77.56083333,10,4,7,2,14,1
12.92635556,77.57694444,18,1,7,1,14,1
12.91542222,77.56194444,9,6,2,2,14,1
12.92088,77.56191,19,2,11,1,14,1
12.9169,77.559677,16,5,6,0,14,1
12.92124722,77.57305556,19,6,1,1,14,1
12.919,77.55535,9,6,2,2,14,1
12.87823,77.50026,12,6,7,0,14,1
12.935347,77.587477,15,6,4,0,14,1
12.942437,77.591254,13,6,6,0,14,1
12.936294,77.593072,15,4,10,0,14,1
12.938159,77.590823,17,4,12,1,14,1
12.93605,77.585719,13,6,1,0,14,1
12.942522,77.58286,18,5,4,1,14,1
12.947692,77.591893,12,2,4,0,14,1
12.943024,77.5871144,16,1,11,0,14,1
12.935347,77.587477,12,3,7,0,14,1
12.941058,77.586061,14,2,7,0,14,1
12.90471042,77.54488816,14,3,1,0,14,1
12.90626715,77.55057549,20,3,1,1,14,1
12.90245473,77.54181407,22,1,11,3,14,1
12.88924511,77.57370198,21,4,6,3,14,1
12.88496438,77.55767556,8,5,4,2,14,1
12.91633747,77.54077845,23,0,7,3,14,1
12.90505271,77.54189573,20,0,10,1,14,1
12.88211726,77.55729374,2,2,9,3,14,1
12.90784268,77.53502225,9,1,8,2,14,1
12.90759817,77.53481056,23,6,12,3,14,1
12.88982145,77.57974701,10,6,6,2,14,1
12.89890617,77.54993736,10,5,10,2,14,1
12.8754426,77.5829255,0,1,1,3,14,1
12.89537161,77.55032355,20,0,9,1,14,1
12.88982145,77.57974701,21,0,6,3,14,1
12.88947089,77.57420817,8,1,3,2,14,1
12.90759817,77.53481056,10,4,6,2,14,1
12.8887116,77.57377343,22,2,8,3,14,1
12.8776868,77.58071703,0,2,9,3,14,1
12.8887116,77.57377343,16,3,10,0,14,1
12.8776868,77.58071703,14,5,11,0,14,1
12.90504139,77.54315768,19,3,6,1,14,1
12.91688388,77.54201107,10,1,3,2,14,1
12.88376625,77.56842522,14,4,7,0,14,1
12.9057223,77.53558126,21,6,3,3,14,1
12.89180481,77.55394005,16,0,1,0,14,1
12.88316591,77.56520086,17,0,12,1,14,1
12.88627829,77.57129098,15,5,3,0,14,1
12.89157884,77.58142943,18,5,3,1,14,1
12.90711393,77.5439924,12,6,3,0,14,1
12.9072655,77.53613997,5,3,3,2,14,1
12.90912148,77.55154907,11,2,4,2,14,1
12.91147818,77.55291868,13,0,4,0,14,1
12.9057223,77.53558126,20,0,9,1,14,1
12.87239,77.542482,18,2,11,1,14,1
12.865651,77.539388,18,3,6,1,14,1
12.872337,77.562521,19,2,11,1,14,1
12.870018,77.565913,15,1,12,0,14,1
12.89083,77.538516,11,5,10,2,14,1
12.892083,77.542315,13,1,12,0,14,1
12.870325,77.547321,11,6,2,2,14,1
12.858186,77.578695,20,0,5,1,14,1
12.891881,77.519617,9,5,12,2,14,1
12.857243,77.573414,11,3,9,2,14,1
12.869623,77.572816,21,2,5,3,14,1
12.895925,77.585328,0,2,1,3,14,1
12.883242,77.575999,0,3,2,3,14,1
12.85514,77.588799,10,5,4,2,14,1
12.896403,77.570289,0,6,4,3,14,1
12.862054,77.585957,0,0,5,3,14,1
12.896403,77.570289,14,1,5,0,14,1
12.895925,77.585328,20,5,5,1,14,1
12.8764,77.581172,0,6,2,3,14,1
12.869404,77.582054,0,1,3,3,14,1
12.866559,77.571249,0,6,1,3,14,1
12.876526,77.562358,0,2,3,3,14,1
12.866559,77.571249,0,0,9,3,14,1
